b-last,b-avg,b-min,b-max,c-last,c-avg,c-min,c-max,d-last,d-avg,d-min,d-max,e-last,e-avg,e-min,e-max,e2e-last,e2e-avg,e2e-min,e2e-max
0,0.0,0,0,229,229.0,229,229,0,0.0,0,0,249,249.0,249,249,478,478.0,478,478
0,0.0,0,0,184,206.5,184,229,1,0.5,0,1,92,170.5,92,249,277,377.5,277,478
0,0.0,0,0,242,218.3,184,242,2,1.0,0,2,97,146.0,92,249,341,365.3,277,478
0,0.0,0,0,270,231.3,184,270,1,1.0,0,2,85,130.8,85,249,356,363.0,277,478
0,0.0,0,0,271,239.2,184,271,1,1.0,0,2,85,121.6,85,249,357,361.8,277,478
0,0.0,0,0,300,249.3,184,300,1,1.0,0,2,98,117.7,85,249,399,368.0,277,478
0,0.0,0,0,141,233.9,141,300,1,1.0,0,2,122,118.3,85,249,264,353.1,264,478
0,0.0,0,0,398,254.4,141,398,0,0.9,0,2,85,114.1,85,249,483,369.4,264,483
0,0.0,0,0,368,267.0,141,398,1,0.9,0,2,77,110.0,77,249,446,377.9,264,483
0,0.0,0,0,234,263.7,141,398,1,0.9,0,2,92,108.2,77,249,327,372.8,264,483
0,0.0,0,0,234,261.0,141,398,1,0.9,0,2,79,105.5,77,249,314,367.5,264,483
0,0.0,0,0,204,256.3,141,398,1,0.9,0,2,93,104.5,77,249,298,361.7,264,483
0,0.0,0,0,287,258.6,141,398,1,0.9,0,2,103,104.4,77,249,391,363.9,264,483
0,0.0,0,0,298,261.4,141,398,1,0.9,0,2,87,103.1,77,249,386,365.5,264,483
0,0.0,0,0,374,268.9,141,398,1,0.9,0,2,87,102.1,77,249,462,371.9,264,483
0,0.0,0,0,164,262.4,141,398,1,0.9,0,2,92,101.4,77,249,257,364.8,257,483
0,0.0,0,0,165,256.6,141,398,1,0.9,0,2,94,101.0,77,249,260,358.6,257,483
0,0.0,0,0,384,263.7,141,398,1,0.9,0,2,98,100.8,77,249,483,365.5,257,483
0,0.0,0,0,449,273.5,141,449,1,0.9,0,2,89,100.2,77,249,539,374.6,257,539
0,0.0,0,0,269,273.3,141,449,1,1.0,0,2,99,100.2,77,249,369,374.4,257,539
0,0.0,0,0,261,272.7,141,449,1,1.0,0,2,82,99.3,77,249,344,372.9,257,539
0,0.0,0,0,368,277.0,141,449,1,1.0,0,2,84,98.6,77,249,453,376.5,257,539
0,0.0,0,0,308,278.3,141,449,1,1.0,0,2,106,98.9,77,249,415,378.2,257,539
0,0.0,0,0,332,280.6,141,449,1,1.0,0,2,89,98.5,77,249,422,380.0,257,539
0,0.0,0,0,422,286.2,141,449,1,1.0,0,2,108,98.9,77,249,531,386.1,257,539
0,0.0,0,0,409,291.0,141,449,1,1.0,0,2,107,99.2,77,249,517,391.1,257,539
0,0.0,0,0,156,286.0,141,449,1,1.0,0,2,91,98.9,77,249,248,385.8,248,539
0,0.0,0,0,198,282.8,141,449,1,1.0,0,2,91,98.6,77,249,290,382.4,248,539
0,0.0,0,0,251,281.7,141,449,1,1.0,0,2,100,98.7,77,249,352,381.3,248,539
0,0.0,0,0,192,278.7,141,449,1,1.0,0,2,113,99.1,77,249,306,378.8,248,539
0,0.0,0,0,260,278.1,141,449,2,1.0,0,2,94,99.0,77,249,356,378.1,248,539
0,0.0,0,0,324,279.6,141,449,1,1.0,0,2,93,98.8,77,249,418,379.3,248,539
0,0.0,0,0,337,281.3,141,449,1,1.0,0,2,106,99.0,77,249,444,381.3,248,539
0,0.0,0,0,378,284.1,141,449,1,1.0,0,2,103,99.1,77,249,482,384.3,248,539
0,0.0,0,0,121,279.5,121,449,1,1.0,0,2,88,98.8,77,249,210,379.3,210,539
0,0.0,0,0,436,283.8,121,449,1,1.0,0,2,101,98.9,77,249,538,383.7,210,539
0,0.0,0,0,168,280.7,121,449,1,1.0,0,2,93,98.7,77,249,262,380.4,210,539
0,0.0,0,0,457,285.3,121,457,1,1.0,0,2,102,98.8,77,249,560,385.1,210,560
0,0.0,0,0,282,285.3,121,457,1,1.0,0,2,87,98.5,77,249,370,384.7,210,560
0,0.0,0,0,264,284.7,121,457,1,1.0,0,2,89,98.3,77,249,354,384.0,210,560
0,0.0,0,0,342,286.1,121,457,2,1.0,0,2,89,98.0,77,249,433,385.2,210,560
0,0.0,0,0,395,288.7,121,457,1,1.0,0,2,94,97.9,77,249,490,387.7,210,560
0,0.0,0,0,190,286.4,121,457,1,1.0,0,2,96,97.9,77,249,287,385.3,210,560
0,0.0,0,0,221,284.9,121,457,1,1.0,0,2,100,97.9,77,249,322,383.9,210,560
0,0.0,0,0,370,286.8,121,457,1,1.0,0,2,91,97.8,77,249,462,385.6,210,560
0,0.0,0,0,358,288.4,121,457,1,1.0,0,2,103,97.9,77,249,462,387.3,210,560
0,0.0,0,0,313,288.9,121,457,1,1.0,0,2,99,97.9,77,249,413,387.8,210,560
0,0.0,0,0,312,289.4,121,457,5,1.1,0,5,97,97.9,77,249,414,388.4,210,560
0,0.0,0,0,299,289.6,121,457,1,1.1,0,5,98,97.9,77,249,398,388.6,210,560
0,0.0,0,0,124,286.3,121,457,2,1.1,0,5,80,97.5,77,249,206,384.9,206,560
0,0.0,0,0,340,287.3,121,457,1,1.1,0,5,99,97.6,77,249,440,386.0,206,560
0,0.0,0,0,319,287.9,121,457,1,1.1,0,5,97,97.6,77,249,417,386.6,206,560
0,0.0,0,0,533,292.5,121,533,1,1.1,0,5,101,97.6,77,249,635,391.3,206,635
0,0.0,0,0,316,293.0,121,533,1,1.1,0,5,92,97.5,77,249,409,391.6,206,635
0,0.0,0,0,291,292.9,121,533,1,1.1,0,5,86,97.3,77,249,378,391.4,206,635
